Ingredient,SMILES
riboflavin,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O
vitamin b6,CC1=NC=C(C(=C1O)CO)CO
vitamin c,C(C(C1C(=C(C(=O)O1)O)O)O)O
citrus bioflavonoids,
rose hips,
niacin,C1=CC(=CN=C1)C(=O)O
niacinamide,C1=CC(=CN=C1)C(=O)N
thiamine,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
brewer's yeast,
folic acid,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N
vitamin b12,CC1=CC2=C(C=C1C)[N+](=CN2)C3C(C(C(O3)CO)OP(=O)(O)OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=N)[O-])N7)CCC(=N)[O-])(C)CC(=O)N)C)CCC(=N)[O-])(C)CC(=O)N)C)CC(=O)N)C)O.[C]#N.[Co+2]
biotin,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2
pantothenic acid,CC(C)(CO)C(C(=O)NCCC(=O)[O-])O
inositol,C1(C(C(C(C(C1O)O)O)O)O)O
paba,C1=CC(=CC=C1C(=O)O)N
choline bitartrate,C[N+](C)(C)CCO
proprietary blend,
protein,
gelatin,
vitamin e,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C
hplc pure creatine monohydrate,
echinacea/goldenseal blend,
echinacea,
goldenseal,
burdock,
gentian,
cayenne pepper,
wood betony,
uva ursi,
zygest(r) blend,
protease,CCCCCCCCC1CC(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2CCCC2C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)C(C)O)CO)CCC(=O)O)CC(=O)N)CC3=CC=C(C=C3)O)CC(=O)N
bromelain,
alpha-amylase,CC1=NN=C(S1)SC(C)C(=O)N2CCC3=CC=CC=C3C2
cellulase,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O
papain,
lipase,
papaya,
chlorophyll,CCC1=C(C2=[NH+]C1=CC3=C(C4=C(C(C(=C4[N-]3)C5=[NH+]C(=C(C5CCC(=O)OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C)C)C=C6C(=C(C(=C2)[N-]6)C=C)C)C(=O)OC)O)C)C.[Mg+2]
vitamin a,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C
artichoke extract,
calories,
calories from fat,
total fat,
saturated fat,
total carbohydrates,
calcium,[Ca]
phosphorus,[P]
potassium,[K]
soy lecithin,
linoleic acid,CCCCCC=CCC=CCCCCCCCC(=O)O
phosphatidylcholine,
phosphatidylinositol,
linolenic acid,CCC=CCC=CCC=CCCCCCCCC(=O)O
bee pollen granules,
sugar,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O
amylase,C=C=CCNC(=O)C1=CC=C(C=C1)F
vitamin d,
cholesterol,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C
nord-gold premium cod liver oil,
omega-3 fatty acids,
eicosapentaenoic acid,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O
docosahexaenoic acid,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O
wild rose hips,
valerian root,
copper,[Cu]
manganese,[Mn]
iron,[Fe]
blackstrap molasses,
bilberry,
l-carnitine,C[N+](C)(C)CC(CC(=O)[O-])O
polyunsaturated fat,
monounsaturated fat,
organic flaxseed oil,
alpha-linolenic acid,CCC=CCC=CCC=CCCCCCCCC(=O)O
oleic acid,CCCCCCCCC=CCCCCCCCC(=O)O
other fatty acids,
coenzyme b12,
