Ingredient,SMILES,score
2-cyclohexylethylamine,C1CCC(CC1)CCN,2.4750194549560547
sodium nitrite,N(=O)[O-].[Na+],2.6318776607513428
octanoic acid,CCCCCCCC(=O)O,2.6857454776763916
caprylic acid,CCCCCCCC(=O)O,2.6857454776763916
alpha-keto glutarate,C1CC(=O)OOOC(=O)C1,2.7202045917510986
alliin,C=CCS(=O)CC(C(=O)O)N,2.7347757816314697
sodium chlorite,[O-]Cl=O.[Na+],2.7505524158477783
choline,C[N+](C)(C)CCO,2.764676809310913
choline bitartrate,C[N+](C)(C)CCO,2.764676809310913
glycine ethyl ester,CCOC(=O)CN,2.780690908432007
cesium chloride,[Cl-].[Cs+],2.7837703227996826
orotic acid,C1=C(NC(=O)NC1=O)C(=O)O,2.7907938957214355
gaba (gamma-aminobutyric acid),C(CC(=O)O)CN,2.830550193786621
4-aminobutanoic acid,C(CC(=O)O)CN,2.830550193786621
gamma aminobutyric acid,C(CC(=O)O)CN,2.830550193786621
gamma-aminobutyric acid,C(CC(=O)O)CN,2.830550193786621
gaba,C(CC(=O)O)CN,2.830550193786621
pyruvate,CC(=O)C(=O)[O-],2.8406548500061035
sarcosine,CNCC(=O)O,2.8460662364959717
l-alanine,CC(C(=O)O)N,2.8583900928497314
alanine,CC(C(=O)O)N,2.8583900928497314
alanin,CC(C(=O)O)N,2.8583900928497314
l-glycine,C(C(=O)O)N,2.871574640274048
glycine,C(C(=O)O)N,2.871574640274048
butyric acid,CCCC(=O)O,2.8747427463531494
propionic acid,CCC(=O)O,2.8747427463531494
esc,CCSCCC(C(=O)O)N,2.9120895862579346
beta hydroxybutyrate,CC(CC(=O)[O-])O,2.9177463054656982
sodium vanadate,[O-][V](=O)=O.[Na+],2.9264333248138428
calcium fluoride,[F-].[F-].[Ca+2],2.9424445629119873
calcarea fluorica,[F-].[F-].[Ca+2],2.9424445629119873
sodium chloride,[Na+].[Cl-],2.9605281352996826
sea salt,[Na+].[Cl-],2.9605281352996826
salt,[Na+].[Cl-],2.9605281352996826
rock salt,[Na+].[Cl-],2.9605281352996826
natrum mur,[Na+].[Cl-],2.9605281352996826
halite,[Na+].[Cl-],2.9605281352996826
aminoglycine,C(C(=O)O)NN,2.965054988861084
ultrasol,[O-2].[Zn+2],2.968931198120117
zinc oxide,[O-2].[Zn+2],2.968931198120117
muscimol,C1=C(ONC1=O)CN,2.971498727798462
beta-alanine ethyl ester,CCOC(=O)CCN,2.978445053100586
norvaline,CCCC(C(=O)O)N,2.9833037853240967
l-2-aminopentanoic acid,CCCC(C(=O)O)N,2.9833037853240967
l-norvaline,CCCC(C(=O)O)N,2.9833037853240967
gum tragacanth,CC.CC.CC.CC.CC,2.987637758255005
proline,C1CC(NC1)C(=O)O,2.9983603954315186
l-proline,C1CC(NC1)C(=O)O,2.9983603954315186
acetic acid,CC(=O)O,3.0026285648345947
aceticum acidum,CC(=O)O,3.0026285648345947
vinegar,CC(=O)O,3.0026285648345947
lithium oxide,[Li+].[Li+].[O-2],3.0071847438812256
pyruvic acid,CC(=O)C(=O)O,3.0157408714294434
manganese oxide,[O-2].[Mn+2],3.0232207775115967
dl-methionine,CSCCC(C(=O)O)N,3.0240747928619385
l-methionine,CSCCC(C(=O)O)N,3.0240747928619385
methionine,CSCCC(C(=O)O)N,3.0240747928619385
sodium propionate,CCC(=O)[O-].[Na+],3.0371592044830322
3-hydroxy-3-methyl-butyric acid,CC(C)(CC(=O)O)O,3.0382301807403564
tartaric acid,C(C(C(=O)O)O)(C(=O)O)O,3.040165662765503
l-inositol,C1(C(C(C(C(C1O)O)O)O)O)O,3.0525219440460205
myoinositol,C1(C(C(C(C(C1O)O)O)O)O)O,3.0525219440460205
d-myo-inositol,C1(C(C(C(C(C1O)O)O)O)O)O,3.0525219440460205
inositol,C1(C(C(C(C(C1O)O)O)O)O)O,3.0525219440460205
d-chiro-inositol,C1(C(C(C(C(C1O)O)O)O)O)O,3.0525219440460205
myo-inositol,C1(C(C(C(C(C1O)O)O)O)O)O,3.0525219440460205
d-chiro inositol,C1(C(C(C(C(C1O)O)O)O)O)O,3.0525219440460205
delete,CCCCCCCCCCO,3.0549724102020264
s-allyl-cysteine,C=CCSCC(C(=O)O)N,3.060743570327759
s-allyl cysteine,C=CCSCC(C(=O)O)N,3.060743570327759
beta alanine,C(CN)C(=O)O,3.0677082538604736
3-aminopropanoic acid,C(CN)C(=O)O,3.0677082538604736
beta-alanine,C(CN)C(=O)O,3.0677082538604736
selenious acid,O[Se](=O)O,3.0750246047973633
selenomethionine,C[Se]CCC(C(=O)O)N,3.075870990753174
l-(+)-selenomethionine,C[Se]CCC(C(=O)O)N,3.075870990753174
l-selenomethionine,C[Se]CCC(C(=O)O)N,3.075870990753174
selenium methionine,C[Se]CCC(C(=O)O)N,3.075870990753174
sodium butyrate,CCCC(=O)[O-].[Na+],3.0869429111480713
zinc acetate dihydrate,CC(=O)O.O.[Zn],3.0970280170440674
simethicone,CO[Si](C)(C)O[Si](C)(C)C.O=[Si]=O,3.0990548133850098
zeolites,O=[Al]O[Al]=O.O=[Si]=O,3.108215093612671
ammonium chloride,[NH4+].[Cl-],3.1185121536254883
magnesium hydroxide,[OH-].[OH-].[Mg+2],3.123525857925415
l-taurine,C(CS(=O)(=O)O)N,3.129455804824829
taurina,C(CS(=O)(=O)O)N,3.129455804824829
2-aminoethanesulfonic acid,C(CS(=O)(=O)O)N,3.129455804824829
taurine,C(CS(=O)(=O)O)N,3.129455804824829
dimethylglycine hcl,CN(C)CC(=O)O.Cl,3.1355555057525635
n;n-dimethylglycine hydrochloride,CN(C)CC(=O)O.Cl,3.1355555057525635
dimethylglycine hydrochloride,CN(C)CC(=O)O.Cl,3.1355555057525635
urea,C(=O)(N)N,3.1426398754119873
carbamide,C(=O)(N)N,3.1426398754119873
l-hydroxyproline,C1C(CNC1C(=O)O)O,3.1455419063568115
hydroxyproline,C1C(CNC1C(=O)O)O,3.1455419063568115
choline chloride,C[N+](C)(C)CCO.[Cl-],3.1458494663238525
phenol,C1=CC=C(C=C1)O,3.1557748317718506
mos,O.O.[SH-].[Mo],3.1698825359344482
carvone,CC1=CCC(CC1=O)C(=C)C,3.1743404865264893
calcium chloride,[Cl-].[Cl-].[Ca+2],3.176018476486206
leucine ethyl ester,CCOC(=O)C(CC(C)C)N,3.1766092777252197
l-leucine ethyl ester,CCOC(=O)C(CC(C)C)N,3.1766092777252197
1-(4-aminobutyl)guanidine sulfate,C(CCN=C(N)N)CN.OS(=O)(=O)O,3.178502082824707
agmatine sulphate,C(CCN=C(N)N)CN.OS(=O)(=O)O,3.178502082824707
agmatine sulfate,C(CCN=C(N)N)CN.OS(=O)(=O)O,3.178502082824707
eaa,CCOC(=O)CC(=O)C,3.182558298110962
betaine,C[N+](C)(C)CC(=O)[O-],3.185115098953247
betaine anhydrous,C[N+](C)(C)CC(=O)[O-],3.185115098953247
trimethyl glycine,C[N+](C)(C)CC(=O)[O-],3.185115098953247
trimethylglycine,C[N+](C)(C)CC(=O)[O-],3.185115098953247
ethyl lactate,CCOC(=O)C(C)O,3.1917083263397217
beta-hydroxy-beta-methylbutyrate,CC(C)(CC(=O)[O-])O,3.1979458332061768
dimethylsulfoxide,CS(=O)C,3.202833890914917
ornithine,C(CC(C(=O)O)N)CN,3.2280681133270264
l-ornithine,C(CC(C(=O)O)N)CN,3.2280681133270264
n-acetyl leucine,CC(C)CC(C(=O)O)NC(=O)C,3.2396390438079834
betaine hydrochloride,C[N+](C)(C)CC(=O)O.[Cl-],3.2399089336395264
betaine hcl,C[N+](C)(C)CC(=O)O.[Cl-],3.2399089336395264
n;n-dimethylglycine,CN(C)CC(=O)O,3.240274667739868
dimethylglycine,CN(C)CC(=O)O,3.240274667739868
dimethyl glycine,CN(C)CC(=O)O,3.240274667739868
ige,CC(C)OCC1CO1,3.251121997833252
methylselenocysteine,C[Se]CC(C(=O)O)N,3.253481149673462
lactic acid,CC(C(=O)O)O,3.259183406829834
boron glycinate,[B]OC(=O)CN,3.261070966720581
sodium fluoride,[F-].[Na+],3.26430344581604
triethanolamine,C(CO)N(CCO)CCO,3.2645232677459717
betaine monohydrate,C[N+](C)(C)CC(=O)[O-].O,3.2744970321655273
potassium iodide,[K+].[I-],3.274721384048462
sodium iodide,[Na+].[I-],3.274721384048462
wax esters,C(=O)O,3.2751896381378174
formic acid,C(=O)O,3.2751896381378174
l-pca,C1CC(=O)NC1C(=O)O,3.2757461071014404
l-pyroglutamate,C1CC(=O)NC1C(=O)O,3.2757461071014404
pyroglutamic acid,C1CC(=O)NC1C(=O)O,3.2757461071014404
oxo-proline,C1CC(=O)NC1C(=O)O,3.2757461071014404
l-pyroglutamic acid,C1CC(=O)NC1C(=O)O,3.2757461071014404
ficin,C(=IF)I=N,3.275980234146118
sulfuric acid,OS(=O)(=O)O,3.278528928756714
ammonium,[NH4+],3.279846668243408
gamma amino beta hydroxybutyric acid,C(C(CN)O)C(=O)O,3.2811036109924316
boric acid,B(O)(O)O,3.2887890338897705
caproic acid,CCCCCC(=O)O,3.290421962738037
pyrite,S=[Fe]=S,3.294456720352173
propylene glycol,CC(CO)O,3.298330545425415
peg,C(CO)O,3.298330545425415
bicarbonates,C(=O)(O)[O-],3.3012936115264893
bicarbonate,C(=O)(O)[O-],3.3012936115264893
rhenium,[Re],3.303539752960205
nickel oxide,O=[Ni],3.3046038150787354
nickel,[Ni],3.3046038150787354
beryllium,[Be],3.310412645339966
vanadyl,O=[V+2],3.3120009899139404
ionic silver,[Ag+],3.3125884532928467
dynamine,C1=CN=CC(=C1N)N,3.312910318374634
dimethyl amino ethanol,CCC(C)(N)O,3.3190653324127197
strontium oxide,[O-2].[Sr+2],3.319697618484497
l-lysine,C(CCN)CC(C(=O)O)N,3.3197672367095947
lysine,C(CCN)CC(C(=O)O)N,3.3197672367095947
tellurium,[Te],3.3232719898223877
magnesium chloride,[Mg+2].[Cl-].[Cl-],3.327714443206787
iron,[Fe],3.328455686569214
carbonyl iron,[Fe],3.328455686569214
ferronyl,[Fe],3.328455686569214
hierro,[Fe],3.328455686569214
tyrosol,C1=CC(=CC=C1CCO)O,3.330134391784668
selenio,[Se],3.3308892250061035
selenium,[Se],3.3308892250061035
l-serine,C(C(C(=O)O)N)O,3.3319342136383057
d-serine,C(C(C(=O)O)N)O,3.3319342136383057
serine,C(C(C(=O)O)N)O,3.3319342136383057
cordycepic acid,C(C(C(C(C(CO)O)O)O)O)O,3.3324906826019287
d-mannitol,C(C(C(C(C(CO)O)O)O)O)O,3.3324906826019287
sorbitol,C(C(C(C(C(CO)O)O)O)O)O,3.3324906826019287
mannitol,C(C(C(C(C(CO)O)O)O)O)O,3.3324906826019287
d-glucitol,C(C(C(C(C(CO)O)O)O)O)O,3.3324906826019287
