Ingredient,SMILES,score
caprylic acid,CCCCCCCC(=O)O,2.7354483604431152
octanoic acid,CCCCCCCC(=O)O,2.7354483604431152
cesium chloride,[Cl-].[Cs+],2.8697259426116943
2-cyclohexylethylamine,C1CCC(CC1)CCN,2.8827011585235596
delete,CCCCCCCCCCO,2.929253339767456
alpha-keto glutarate,C1CC(=O)OOOC(=O)C1,2.9602527618408203
betaine monohydrate,C[N+](C)(C)CC(=O)[O-].O,2.9751455783843994
sodium nitrite,N(=O)[O-].[Na+],2.983638048171997
glycine ethyl ester,CCOC(=O)CN,3.0211472511291504
pyruvate,CC(=O)C(=O)[O-],3.0287435054779053
hydroxyproline,C1C(CNC1C(=O)O)O,3.029280662536621
l-hydroxyproline,C1C(CNC1C(=O)O)O,3.029280662536621
sodium chlorite,[O-]Cl=O.[Na+],3.033146619796753
beta hydroxybutyrate,CC(CC(=O)[O-])O,3.0408973693847656
alliin,C=CCS(=O)CC(C(=O)O)N,3.041283130645752
orotic acid,C1=C(NC(=O)NC1=O)C(=O)O,3.0583999156951904
zeolites,O=[Al]O[Al]=O.O=[Si]=O,3.0799102783203125
choline bitartrate,C[N+](C)(C)CCO,3.0811069011688232
choline,C[N+](C)(C)CCO,3.0811069011688232
lithium oxide,[Li+].[Li+].[O-2],3.081800937652588
pyruvic acid,CC(=O)C(=O)O,3.082913398742676
esc,CCSCCC(C(=O)O)N,3.0907342433929443
sarcosine,CNCC(=O)O,3.0947234630584717
betaine,C[N+](C)(C)CC(=O)[O-],3.1034867763519287
betaine anhydrous,C[N+](C)(C)CC(=O)[O-],3.1034867763519287
trimethylglycine,C[N+](C)(C)CC(=O)[O-],3.1034867763519287
trimethyl glycine,C[N+](C)(C)CC(=O)[O-],3.1034867763519287
propionic acid,CCC(=O)O,3.1181695461273193
butyric acid,CCCC(=O)O,3.1181695461273193
carvone,CC1=CCC(CC1=O)C(=C)C,3.118211030960083
agmatine sulfate,C(CCN=C(N)N)CN.OS(=O)(=O)O,3.1183555126190186
agmatine sulphate,C(CCN=C(N)N)CN.OS(=O)(=O)O,3.1183555126190186
1-(4-aminobutyl)guanidine sulfate,C(CCN=C(N)N)CN.OS(=O)(=O)O,3.1183555126190186
betaine hydrochloride,C[N+](C)(C)CC(=O)O.[Cl-],3.118903160095215
betaine hcl,C[N+](C)(C)CC(=O)O.[Cl-],3.118903160095215
selenium methionine,C[Se]CCC(C(=O)O)N,3.123352289199829
selenomethionine,C[Se]CCC(C(=O)O)N,3.123352289199829
l-(+)-selenomethionine,C[Se]CCC(C(=O)O)N,3.123352289199829
l-selenomethionine,C[Se]CCC(C(=O)O)N,3.123352289199829
methylselenocysteine,C[Se]CC(C(=O)O)N,3.146034002304077
gamma-aminobutyric acid,C(CC(=O)O)CN,3.15671443939209
gaba,C(CC(=O)O)CN,3.15671443939209
gamma aminobutyric acid,C(CC(=O)O)CN,3.15671443939209
gaba (gamma-aminobutyric acid),C(CC(=O)O)CN,3.15671443939209
4-aminobutanoic acid,C(CC(=O)O)CN,3.15671443939209
simethicone,CO[Si](C)(C)O[Si](C)(C)C.O=[Si]=O,3.1623430252075195
sea salt,[Na+].[Cl-],3.1946518421173096
natrum mur,[Na+].[Cl-],3.1946518421173096
sodium chloride,[Na+].[Cl-],3.1946518421173096
rock salt,[Na+].[Cl-],3.1946518421173096
halite,[Na+].[Cl-],3.1946518421173096
salt,[Na+].[Cl-],3.1946518421173096
muscimol,C1=C(ONC1=O)CN,3.196115732192993
zinc oxide,[O-2].[Zn+2],3.2081658840179443
ultrasol,[O-2].[Zn+2],3.2081658840179443
selenious acid,O[Se](=O)O,3.209157705307007
aminoglycine,C(C(=O)O)NN,3.2320077419281006
gum tragacanth,CC.CC.CC.CC.CC,3.235125780105591
tartaric acid,C(C(C(=O)O)O)(C(=O)O)O,3.246711015701294
vinegar,CC(=O)O,3.247661828994751
aceticum acidum,CC(=O)O,3.247661828994751
acetic acid,CC(=O)O,3.247661828994751
3-hydroxy-3-methyl-butyric acid,CC(C)(CC(=O)O)O,3.248528242111206
ketoisocaproate,CC(C)CC(=O)C(=O)O,3.265723466873169
alpha-ketoisocaproic acid,CC(C)CC(=O)C(=O)O,3.265723466873169
alpha-ketoisocaproate,CC(C)CC(=O)C(=O)O,3.265723466873169
l-alanine,CC(C(=O)O)N,3.2664294242858887
alanine,CC(C(=O)O)N,3.2664294242858887
alanin,CC(C(=O)O)N,3.2664294242858887
