Ingredient,SMILES,score
2-cyclohexylethylamine,C1CCC(CC1)CCN,3.1942527294158936
alpha-keto glutarate,C1CC(=O)OOOC(=O)C1,3.3541836738586426
choline bitartrate,C[N+](C)(C)CCO,3.370037317276001
choline,C[N+](C)(C)CCO,3.370037317276001
sodium chlorite,[O-]Cl=O.[Na+],3.378455400466919
sodium nitrite,N(=O)[O-].[Na+],3.4073891639709473
glycine ethyl ester,CCOC(=O)CN,3.4385883808135986
octanoic acid,CCCCCCCC(=O)O,3.445934534072876
caprylic acid,CCCCCCCC(=O)O,3.445934534072876
orotic acid,C1=C(NC(=O)NC1=O)C(=O)O,3.447608709335327
alliin,C=CCS(=O)CC(C(=O)O)N,3.4587037563323975
cesium chloride,[Cl-].[Cs+],3.48378849029541
pyruvate,CC(=O)C(=O)[O-],3.4882748126983643
esc,CCSCCC(C(=O)O)N,3.505965232849121
4-aminobutanoic acid,C(CC(=O)O)CN,3.5107574462890625
gaba (gamma-aminobutyric acid),C(CC(=O)O)CN,3.5107574462890625
gamma aminobutyric acid,C(CC(=O)O)CN,3.5107574462890625
gaba,C(CC(=O)O)CN,3.5107574462890625
gamma-aminobutyric acid,C(CC(=O)O)CN,3.5107574462890625
sarcosine,CNCC(=O)O,3.5330753326416016
alanin,CC(C(=O)O)N,3.568100690841675
alanine,CC(C(=O)O)N,3.568100690841675
l-alanine,CC(C(=O)O)N,3.568100690841675
propionic acid,CCC(=O)O,3.5703012943267822
butyric acid,CCCC(=O)O,3.5703012943267822
tartaric acid,C(C(C(=O)O)O)(C(=O)O)O,3.5712199211120605
l-selenomethionine,C[Se]CCC(C(=O)O)N,3.571613311767578
selenomethionine,C[Se]CCC(C(=O)O)N,3.571613311767578
l-(+)-selenomethionine,C[Se]CCC(C(=O)O)N,3.571613311767578
selenium methionine,C[Se]CCC(C(=O)O)N,3.571613311767578
glycine,C(C(=O)O)N,3.577474355697632
l-glycine,C(C(=O)O)N,3.577474355697632
ultrasol,[O-2].[Zn+2],3.581754684448242
zinc oxide,[O-2].[Zn+2],3.581754684448242
aminoglycine,C(C(=O)O)NN,3.60891056060791
manganese oxide,[O-2].[Mn+2],3.62835693359375
muscimol,C1=C(ONC1=O)CN,3.63653564453125
beta-alanine ethyl ester,CCOC(=O)CCN,3.6493215560913086
lithium oxide,[Li+].[Li+].[O-2],3.659566640853882
sodium vanadate,[O-][V](=O)=O.[Na+],3.663625717163086
l-proline,C1CC(NC1)C(=O)O,3.6766207218170166
proline,C1CC(NC1)C(=O)O,3.6766207218170166
pyruvic acid,CC(=O)C(=O)O,3.6785523891448975
norvaline,CCCC(C(=O)O)N,3.696157693862915
l-2-aminopentanoic acid,CCCC(C(=O)O)N,3.696157693862915
l-norvaline,CCCC(C(=O)O)N,3.696157693862915
calcarea fluorica,[F-].[F-].[Ca+2],3.699413299560547
calcium fluoride,[F-].[F-].[Ca+2],3.699413299560547
vinegar,CC(=O)O,3.715646505355835
aceticum acidum,CC(=O)O,3.715646505355835
acetic acid,CC(=O)O,3.715646505355835
s-allyl-cysteine,C=CCSCC(C(=O)O)N,3.7158234119415283
s-allyl cysteine,C=CCSCC(C(=O)O)N,3.7158234119415283
natrum mur,[Na+].[Cl-],3.720069169998169
sea salt,[Na+].[Cl-],3.720069169998169
